"Total_Revolving_Bal","Attrition_Flag"
1822,Existing Customer
0,Attrited Customer
659,Existing Customer
1162,Existing Customer
1054,Existing Customer
1773,Existing Customer
1332,Existing Customer
1207,Existing Customer
1640,Existing Customer
0,Existing Customer
1173,Existing Customer
0,Existing Customer
2389,Attrited Customer
1540,Existing Customer
0,Existing Customer
0,Existing Customer
2307,Existing Customer
2129,Existing Customer
1825,Existing Customer
668,Existing Customer
1632,Existing Customer
0,Existing Customer
1489,Existing Customer
1853,Existing Customer
1278,Existing Customer
0,Existing Customer
1678,Existing Customer
1201,Existing Customer
0,Existing Customer
1547,Existing Customer
1198,Existing Customer
1845,Existing Customer
827,Existing Customer
1404,Existing Customer
1470,Existing Customer
1051,Existing Customer
2152,Existing Customer
0,Existing Customer
0,Existing Customer
1220,Existing Customer
0,Attrited Customer
2517,Existing Customer
1427,Existing Customer
1625,Existing Customer
1647,Existing Customer
0,Existing Customer
2126,Existing Customer
1932,Existing Customer
2021,Existing Customer
0,Attrited Customer
1289,Existing Customer
2175,Existing Customer
831,Existing Customer
715,Existing Customer
1932,Existing Customer
1471,Existing Customer
2517,Existing Customer
1665,Existing Customer
1517,Existing Customer
1622,Existing Customer
1205,Existing Customer
1194,Existing Customer
0,Existing Customer
2517,Existing Customer
0,Existing Customer
817,Existing Customer
0,Existing Customer
1920,Existing Customer
2517,Existing Customer
1339,Existing Customer
1665,Existing Customer
1627,Existing Customer
1812,Existing Customer
1428,Attrited Customer
0,Existing Customer
0,Existing Customer
2129,Existing Customer
0,Attrited Customer
1815,Existing Customer
1311,Existing Customer
925,Existing Customer
2517,Existing Customer
2517,Existing Customer
1463,Existing Customer
2185,Existing Customer
2491,Existing Customer
1169,Existing Customer
1605,Existing Customer
1106,Existing Customer
2517,Attrited Customer
1476,Existing Customer
0,Existing Customer
1253,Existing Customer
1077,Existing Customer
1629,Existing Customer
1256,Existing Customer
2253,Existing Customer
683,Existing Customer
1010,Existing Customer
0,Attrited Customer
963,Existing Customer
0,Existing Customer
1259,Existing Customer
1390,Existing Customer
1580,Existing Customer
1720,Existing Customer
1968,Existing Customer
1516,Existing Customer
0,Attrited Customer
0,Existing Customer
0,Existing Customer
1220,Existing Customer
1980,Existing Customer
1158,Existing Customer
1075,Existing Customer
1539,Existing Customer
1061,Existing Customer
1411,Existing Customer
1251,Existing Customer
1378,Existing Customer
0,Existing Customer
2517,Existing Customer
2517,Existing Customer
1046,Existing Customer
584,Existing Customer
2047,Existing Customer
773,Existing Customer
1599,Existing Customer
1266,Existing Customer
1373,Existing Customer
2014,Existing Customer
1564,Existing Customer
1748,Existing Customer
2312,Existing Customer
1970,Existing Customer
0,Attrited Customer
1126,Existing Customer
1607,Existing Customer
1091,Existing Customer
1157,Existing Customer
1274,Existing Customer
2517,Existing Customer
0,Existing Customer
2065,Existing Customer
1402,Existing Customer
1665,Existing Customer
0,Existing Customer
1543,Existing Customer
1974,Existing Customer
962,Existing Customer
1687,Existing Customer
1665,Existing Customer
0,Attrited Customer
0,Existing Customer
1830,Existing Customer
916,Existing Customer
0,Existing Customer
0,Existing Customer
2056,Existing Customer
1541,Existing Customer
1520,Existing Customer
0,Attrited Customer
1616,Existing Customer
0,Existing Customer
2517,Existing Customer
1149,Existing Customer
2000,Existing Customer
0,Existing Customer
1351,Existing Customer
2008,Existing Customer
1550,Existing Customer
2517,Existing Customer
2008,Existing Customer
1656,Existing Customer
2517,Existing Customer
1328,Existing Customer
1962,Attrited Customer
0,Existing Customer
1118,Existing Customer
1572,Existing Customer
1695,Existing Customer
0,Existing Customer
1533,Existing Customer
2022,Existing Customer
1348,Existing Customer
1496,Existing Customer
1155,Existing Customer
670,Existing Customer
934,Existing Customer
1542,Existing Customer
998,Existing Customer
1899,Existing Customer
773,Existing Customer
1518,Existing Customer
1306,Existing Customer
1227,Existing Customer
2002,Existing Customer
2092,Existing Customer
1256,Existing Customer
629,Existing Customer
1284,Existing Customer
0,Existing Customer
0,Existing Customer
1647,Existing Customer
0,Attrited Customer
770,Existing Customer
1392,Existing Customer
1188,Existing Customer
1424,Existing Customer
1453,Existing Customer
1736,Existing Customer
1271,Existing Customer
2351,Existing Customer
0,Attrited Customer
1145,Existing Customer
902,Existing Customer
1794,Existing Customer
1018,Existing Customer
0,Existing Customer
629,Existing Customer
2517,Existing Customer
0,Attrited Customer
0,Attrited Customer
2378,Existing Customer
1670,Existing Customer
676,Existing Customer
1322,Existing Customer
1359,Existing Customer
0,Existing Customer
862,Existing Customer
1624,Existing Customer
0,Existing Customer
0,Existing Customer
2399,Existing Customer
979,Existing Customer
1389,Existing Customer
1276,Existing Customer
1848,Existing Customer
2517,Existing Customer
888,Existing Customer
1775,Existing Customer
2517,Existing Customer
1786,Existing Customer
0,Existing Customer
1732,Existing Customer
2149,Existing Customer
2442,Existing Customer
0,Attrited Customer
2096,Existing Customer
978,Attrited Customer
1694,Existing Customer
0,Existing Customer
2517,Existing Customer
2489,Existing Customer
906,Attrited Customer
1338,Existing Customer
2055,Existing Customer
1987,Existing Customer
1726,Existing Customer
2517,Existing Customer
1209,Existing Customer
1884,Existing Customer
1856,Existing Customer
0,Existing Customer
0,Existing Customer
0,Existing Customer
1229,Existing Customer
2036,Existing Customer
1657,Existing Customer
0,Existing Customer
1326,Existing Customer
0,Existing Customer
1118,Existing Customer
2092,Existing Customer
0,Existing Customer
2276,Existing Customer
648,Existing Customer
1928,Existing Customer
2517,Existing Customer
2290,Existing Customer
1207,Existing Customer
2410,Attrited Customer
2517,Existing Customer
1459,Existing Customer
1300,Existing Customer
417,Attrited Customer
2517,Existing Customer
1041,Existing Customer
1578,Existing Customer
1814,Existing Customer
1437,Existing Customer
1028,Existing Customer
1535,Existing Customer
2491,Existing Customer
2069,Existing Customer
1740,Existing Customer
0,Existing Customer
1285,Existing Customer
1363,Existing Customer
1591,Existing Customer
1696,Attrited Customer
2202,Existing Customer
1737,Existing Customer
0,Attrited Customer
1173,Existing Customer
901,Existing Customer
802,Existing Customer
955,Existing Customer
947,Existing Customer
1319,Existing Customer
1578,Existing Customer
2098,Existing Customer
2517,Existing Customer
1119,Existing Customer
1490,Existing Customer
1885,Existing Customer
1683,Existing Customer
984,Existing Customer
0,Existing Customer
0,Existing Customer
0,Existing Customer
542,Existing Customer
1945,Existing Customer
2517,Existing Customer
1430,Existing Customer
1389,Existing Customer
0,Existing Customer
1517,Existing Customer
865,Existing Customer
0,Attrited Customer
2517,Existing Customer
1541,Existing Customer
663,Existing Customer
2371,Existing Customer
2517,Existing Customer
1661,Existing Customer
1573,Existing Customer
1176,Existing Customer
1559,Existing Customer
1969,Existing Customer
620,Existing Customer
1300,Existing Customer
614,Existing Customer
0,Existing Customer
2517,Existing Customer
1865,Existing Customer
1461,Existing Customer
1218,Existing Customer
1796,Existing Customer
1685,Existing Customer
770,Existing Customer
1275,Existing Customer
1505,Existing Customer
1250,Existing Customer
797,Existing Customer
0,Existing Customer
1470,Existing Customer
2349,Existing Customer
1685,Existing Customer
0,Existing Customer
1841,Existing Customer
938,Existing Customer
1874,Existing Customer
1873,Existing Customer
772,Existing Customer
1738,Existing Customer
985,Existing Customer
1480,Existing Customer
1469,Existing Customer
946,Existing Customer
526,Existing Customer
2315,Existing Customer
2301,Existing Customer
1501,Existing Customer
1347,Existing Customer
1305,Existing Customer
243,Attrited Customer
1799,Existing Customer
1619,Existing Customer
1909,Existing Customer
1611,Existing Customer
1327,Existing Customer
787,Attrited Customer
1773,Existing Customer
0,Attrited Customer
948,Existing Customer
2408,Attrited Customer
0,Existing Customer
1543,Existing Customer
1135,Existing Customer
744,Existing Customer
1504,Existing Customer
1551,Existing Customer
1580,Existing Customer
1393,Existing Customer
1470,Existing Customer
2517,Existing Customer
2215,Existing Customer
1338,Existing Customer
321,Attrited Customer
2227,Existing Customer
2180,Existing Customer
2508,Existing Customer
704,Existing Customer
976,Existing Customer
1978,Existing Customer
1699,Existing Customer
1495,Existing Customer
0,Existing Customer
1185,Existing Customer
864,Existing Customer
2200,Existing Customer
1583,Existing Customer
2517,Existing Customer
2078,Existing Customer
2264,Existing Customer
1398,Existing Customer
2379,Existing Customer
2517,Existing Customer
906,Existing Customer
2155,Existing Customer
2101,Existing Customer
2497,Existing Customer
1915,Existing Customer
2517,Existing Customer
753,Existing Customer
1463,Existing Customer
0,Existing Customer
1834,Existing Customer
2260,Existing Customer
1344,Existing Customer
588,Existing Customer
0,Existing Customer
1263,Existing Customer
845,Existing Customer
0,Existing Customer
2158,Existing Customer
1995,Existing Customer
1741,Existing Customer
1209,Existing Customer
2282,Existing Customer
1440,Existing Customer
1977,Existing Customer
1528,Existing Customer
1354,Existing Customer
1494,Existing Customer
1513,Existing Customer
607,Existing Customer
1287,Existing Customer
1970,Existing Customer
726,Existing Customer
1451,Existing Customer
741,Existing Customer
0,Existing Customer
1226,Existing Customer
0,Existing Customer
0,Existing Customer
2152,Existing Customer
1207,Existing Customer
1802,Existing Customer
2403,Existing Customer
2380,Existing Customer
1427,Existing Customer
1021,Existing Customer
0,Attrited Customer
0,Existing Customer
1701,Existing Customer
1731,Existing Customer
1361,Existing Customer
0,Existing Customer
1365,Existing Customer
654,Existing Customer
1527,Existing Customer
1048,Existing Customer
1935,Existing Customer
1645,Existing Customer
2259,Existing Customer
1933,Existing Customer
0,Existing Customer
1965,Existing Customer
2115,Existing Customer
1806,Existing Customer
0,Existing Customer
2517,Existing Customer
1745,Existing Customer
2517,Existing Customer
2429,Existing Customer
1266,Existing Customer
2517,Attrited Customer
499,Existing Customer
2489,Existing Customer
1480,Existing Customer
1024,Existing Customer
2517,Existing Customer
0,Existing Customer
1677,Existing Customer
0,Existing Customer
0,Existing Customer
0,Existing Customer
1713,Existing Customer
1188,Existing Customer
2231,Existing Customer
633,Existing Customer
0,Existing Customer
1602,Existing Customer
1942,Existing Customer
2214,Existing Customer
2193,Existing Customer
1509,Existing Customer
2326,Existing Customer
1535,Existing Customer
1919,Existing Customer
1251,Existing Customer
1363,Existing Customer
1655,Existing Customer
2517,Existing Customer
1753,Existing Customer
1236,Existing Customer
1691,Existing Customer
0,Existing Customer
2130,Existing Customer
2350,Existing Customer
1558,Existing Customer
2101,Existing Customer
0,Existing Customer
927,Existing Customer
1750,Existing Customer
1463,Existing Customer
1338,Existing Customer
0,Existing Customer
1228,Existing Customer
949,Existing Customer
0,Existing Customer
0,Existing Customer
1176,Existing Customer
1433,Existing Customer
1812,Existing Customer
1167,Existing Customer
1328,Existing Customer
2517,Existing Customer
1995,Existing Customer
1340,Existing Customer
1328,Existing Customer
0,Attrited Customer
1858,Existing Customer
1292,Existing Customer
2517,Existing Customer
1443,Existing Customer
1518,Existing Customer
2517,Existing Customer
1380,Existing Customer
2028,Existing Customer
1163,Existing Customer
1300,Existing Customer
2016,Existing Customer
2289,Existing Customer
1895,Existing Customer
1813,Existing Customer
2077,Existing Customer
1278,Existing Customer
1210,Existing Customer
1635,Existing Customer
0,Existing Customer
1285,Existing Customer
753,Existing Customer
1954,Existing Customer
2006,Existing Customer
1316,Existing Customer
1445,Existing Customer
1818,Existing Customer
1942,Existing Customer
1257,Existing Customer
1854,Existing Customer
1342,Existing Customer
1656,Existing Customer
2165,Existing Customer
2029,Existing Customer
0,Existing Customer
1950,Existing Customer
719,Existing Customer
1372,Existing Customer
1977,Existing Customer
0,Attrited Customer
1090,Existing Customer
1020,Existing Customer
1338,Existing Customer
1027,Existing Customer
0,Existing Customer
1887,Existing Customer
2317,Existing Customer
1081,Existing Customer
840,Existing Customer
1578,Existing Customer
1446,Existing Customer
1935,Existing Customer
1961,Existing Customer
2517,Existing Customer
0,Existing Customer
0,Existing Customer
813,Existing Customer
2517,Existing Customer
0,Existing Customer
951,Existing Customer
2517,Existing Customer
1607,Existing Customer
1847,Existing Customer
1858,Existing Customer
1397,Existing Customer
0,Existing Customer
1257,Existing Customer
2517,Existing Customer
2015,Existing Customer
1589,Existing Customer
2463,Existing Customer
2051,Existing Customer
1259,Existing Customer
1603,Existing Customer
2188,Existing Customer
1514,Existing Customer
2168,Existing Customer
1084,Existing Customer
0,Existing Customer
2517,Existing Customer
2057,Existing Customer
1968,Existing Customer
0,Existing Customer
807,Existing Customer
2431,Existing Customer
0,Existing Customer
1638,Existing Customer
1608,Existing Customer
1962,Existing Customer
0,Existing Customer
0,Existing Customer
969,Existing Customer
1903,Existing Customer
1655,Existing Customer
2517,Attrited Customer
1108,Existing Customer
2517,Existing Customer
745,Existing Customer
2018,Existing Customer
1732,Existing Customer
1351,Existing Customer
2517,Existing Customer
980,Existing Customer
1199,Existing Customer
0,Existing Customer
2229,Existing Customer
1017,Existing Customer
0,Existing Customer
0,Existing Customer
1073,Existing Customer
1194,Existing Customer
1720,Existing Customer
2335,Existing Customer
0,Existing Customer
1747,Existing Customer
0,Existing Customer
1758,Existing Customer
1562,Existing Customer
1193,Existing Customer
0,Existing Customer
2159,Existing Customer
1572,Existing Customer
957,Existing Customer
0,Existing Customer
1590,Existing Customer
2013,Existing Customer
1377,Existing Customer
1815,Existing Customer
1070,Existing Customer
1776,Existing Customer
651,Attrited Customer
2398,Existing Customer
0,Existing Customer
1421,Existing Customer
1799,Existing Customer
1466,Existing Customer
0,Attrited Customer
1223,Existing Customer
926,Existing Customer
1473,Existing Customer
0,Existing Customer
1912,Existing Customer
0,Existing Customer
989,Existing Customer
1181,Existing Customer
2098,Existing Customer
0,Existing Customer
1345,Existing Customer
1974,Existing Customer
2140,Existing Customer
1468,Existing Customer
2517,Existing Customer
2517,Existing Customer
962,Existing Customer
2134,Existing Customer
1491,Existing Customer
0,Existing Customer
1869,Existing Customer
2037,Existing Customer
0,Existing Customer
1587,Existing Customer
0,Attrited Customer
2084,Existing Customer
1473,Existing Customer
0,Existing Customer
543,Existing Customer
0,Existing Customer
665,Existing Customer
1220,Existing Customer
1620,Existing Customer
1474,Existing Customer
0,Existing Customer
1952,Existing Customer
2099,Existing Customer
1116,Existing Customer
0,Existing Customer
0,Attrited Customer
0,Existing Customer
2462,Existing Customer
1489,Existing Customer
0,Attrited Customer
0,Existing Customer
1480,Existing Customer
890,Existing Customer
0,Existing Customer
1716,Existing Customer
1885,Existing Customer
1280,Existing Customer
808,Existing Customer
0,Existing Customer
1586,Existing Customer
2191,Attrited Customer
0,Existing Customer
0,Existing Customer
1388,Existing Customer
1628,Existing Customer
0,Existing Customer
1323,Existing Customer
1176,Existing Customer
1278,Existing Customer
2354,Existing Customer
1217,Existing Customer
0,Existing Customer
1348,Existing Customer
1435,Existing Customer
0,Existing Customer
1551,Existing Customer
0,Existing Customer
1691,Existing Customer
2517,Existing Customer
917,Existing Customer
2461,Existing Customer
2422,Existing Customer
1668,Existing Customer
1878,Existing Customer
1899,Existing Customer
2517,Existing Customer
0,Existing Customer
0,Existing Customer
1583,Existing Customer
1435,Existing Customer
774,Existing Customer
1006,Existing Customer
2073,Existing Customer
778,Existing Customer
2010,Existing Customer
1569,Existing Customer
945,Existing Customer
1606,Existing Customer
0,Existing Customer
2157,Existing Customer
0,Existing Customer
1425,Existing Customer
938,Existing Customer
0,Existing Customer
1630,Existing Customer
1548,Existing Customer
0,Existing Customer
0,Existing Customer
1263,Existing Customer
2514,Existing Customer
2417,Existing Customer
0,Existing Customer
0,Existing Customer
1822,Existing Customer
2178,Attrited Customer
1591,Existing Customer
1515,Existing Customer
688,Existing Customer
2227,Existing Customer
1749,Existing Customer
1965,Existing Customer
0,Existing Customer
0,Existing Customer
1217,Existing Customer
0,Existing Customer
0,Existing Customer
1817,Existing Customer
0,Existing Customer
0,Existing Customer
0,Existing Customer
1187,Existing Customer
1749,Existing Customer
1508,Existing Customer
582,Existing Customer
1496,Existing Customer
1018,Existing Customer
657,Existing Customer
0,Attrited Customer
561,Existing Customer
851,Existing Customer
1464,Existing Customer
0,Existing Customer
948,Existing Customer
1821,Attrited Customer
0,Existing Customer
0,Existing Customer
2379,Existing Customer
1260,Existing Customer
1402,Existing Customer
1388,Existing Customer
1695,Existing Customer
1622,Existing Customer
0,Existing Customer
1375,Existing Customer
891,Existing Customer
1049,Existing Customer
796,Existing Customer
1193,Existing Customer
0,Existing Customer
0,Attrited Customer
0,Existing Customer
1436,Existing Customer
2517,Existing Customer
0,Existing Customer
1387,Existing Customer
1793,Existing Customer
0,Attrited Customer
0,Attrited Customer
1021,Existing Customer
824,Existing Customer
0,Existing Customer
1472,Existing Customer
1397,Existing Customer
2517,Existing Customer
689,Existing Customer
1368,Existing Customer
2154,Existing Customer
0,Existing Customer
1049,Existing Customer
0,Existing Customer
0,Existing Customer
1345,Existing Customer
0,Existing Customer
1929,Existing Customer
1316,Existing Customer
1354,Existing Customer
1367,Existing Customer
724,Existing Customer
2458,Existing Customer
0,Existing Customer
1028,Existing Customer
1365,Existing Customer
644,Existing Customer
881,Existing Customer
1368,Existing Customer
0,Existing Customer
0,Existing Customer
1704,Existing Customer
2165,Attrited Customer
1899,Existing Customer
2049,Existing Customer
1444,Existing Customer
1310,Existing Customer
0,Existing Customer
758,Existing Customer
0,Existing Customer
0,Existing Customer
2517,Attrited Customer
0,Existing Customer
2464,Existing Customer
988,Existing Customer
2517,Existing Customer
2088,Existing Customer
1445,Existing Customer
1650,Existing Customer
688,Existing Customer
1839,Existing Customer
1484,Attrited Customer
0,Existing Customer
1359,Existing Customer
1242,Existing Customer
0,Existing Customer
1754,Existing Customer
719,Existing Customer
0,Existing Customer
2301,Existing Customer
1864,Existing Customer
1560,Existing Customer
1656,Existing Customer
1420,Existing Customer
2044,Existing Customer
0,Existing Customer
2517,Existing Customer
0,Existing Customer
2139,Existing Customer
2517,Existing Customer
874,Existing Customer
915,Existing Customer
2002,Existing Customer
0,Existing Customer
1132,Existing Customer
2309,Existing Customer
0,Attrited Customer
1710,Existing Customer
1675,Existing Customer
2517,Attrited Customer
0,Existing Customer
2517,Existing Customer
1689,Existing Customer
0,Existing Customer
1225,Existing Customer
0,Attrited Customer
0,Existing Customer
0,Existing Customer
1272,Existing Customer
2000,Existing Customer
1654,Existing Customer
0,Existing Customer
1020,Existing Customer
2517,Attrited Customer
1721,Existing Customer
1113,Existing Customer
0,Attrited Customer
892,Existing Customer
2303,Existing Customer
0,Existing Customer
900,Existing Customer
1380,Existing Customer
0,Existing Customer
0,Existing Customer
2517,Existing Customer
2517,Attrited Customer
1705,Existing Customer
2049,Existing Customer
1037,Existing Customer
1619,Existing Customer
1153,Existing Customer
1190,Existing Customer
2035,Existing Customer
1280,Existing Customer
0,Existing Customer
1426,Existing Customer
1023,Existing Customer
1444,Attrited Customer
0,Existing Customer
0,Attrited Customer
1136,Existing Customer
1525,Existing Customer
1079,Existing Customer
2517,Existing Customer
988,Existing Customer
0,Existing Customer
1426,Existing Customer
2517,Existing Customer
2019,Existing Customer
1963,Existing Customer
2321,Existing Customer
1421,Existing Customer
0,Attrited Customer
2517,Existing Customer
866,Existing Customer
754,Existing Customer
1126,Existing Customer
797,Existing Customer
0,Attrited Customer
2034,Existing Customer
813,Existing Customer
1190,Existing Customer
1254,Existing Customer
1829,Existing Customer
504,Attrited Customer
1574,Existing Customer
1421,Existing Customer
1619,Existing Customer
0,Existing Customer
2284,Existing Customer
1243,Existing Customer
2043,Existing Customer
0,Existing Customer
2356,Existing Customer
0,Existing Customer
1051,Existing Customer
980,Existing Customer
1115,Existing Customer
1502,Existing Customer
1101,Existing Customer
0,Existing Customer
1206,Existing Customer
0,Existing Customer
0,Existing Customer
1329,Existing Customer
0,Existing Customer
2517,Attrited Customer
2191,Existing Customer
737,Existing Customer
1459,Existing Customer
0,Existing Customer
1961,Existing Customer
0,Existing Customer
0,Attrited Customer
0,Attrited Customer
1482,Existing Customer
2517,Attrited Customer
1284,Existing Customer
0,Existing Customer
1217,Existing Customer
0,Existing Customer
0,Existing Customer
0,Existing Customer
1746,Existing Customer
995,Existing Customer
0,Existing Customer
889,Existing Customer
1590,Existing Customer
1211,Existing Customer
464,Attrited Customer
2517,Existing Customer
0,Existing Customer
0,Attrited Customer
1202,Existing Customer
0,Existing Customer
1391,Existing Customer
2258,Existing Customer
0,Attrited Customer
1282,Existing Customer
1172,Existing Customer
1387,Existing Customer
1959,Existing Customer
0,Existing Customer
0,Attrited Customer
710,Existing Customer
1531,Attrited Customer
1042,Existing Customer
1029,Existing Customer
792,Existing Customer
0,Existing Customer
1845,Existing Customer
0,Existing Customer
1317,Existing Customer
1489,Existing Customer
1463,Existing Customer
0,Existing Customer
0,Existing Customer
968,Existing Customer
1720,Existing Customer
2024,Existing Customer
1688,Existing Customer
0,Attrited Customer
0,Existing Customer
0,Existing Customer
1597,Existing Customer
1848,Existing Customer
0,Existing Customer
633,Attrited Customer
1296,Existing Customer
2457,Attrited Customer
326,Attrited Customer
0,Existing Customer
1224,Existing Customer
0,Attrited Customer
1731,Existing Customer
1733,Existing Customer
1991,Existing Customer
0,Attrited Customer
1902,Existing Customer
1204,Existing Customer
1281,Existing Customer
1795,Existing Customer
810,Attrited Customer
2049,Existing Customer
1002,Existing Customer
1860,Existing Customer
0,Existing Customer
868,Existing Customer
1519,Existing Customer
0,Attrited Customer
0,Existing Customer
1846,Existing Customer
0,Existing Customer
1337,Existing Customer
2111,Existing Customer
2016,Existing Customer
1514,Existing Customer
1535,Existing Customer
0,Existing Customer
1698,Existing Customer
1405,Existing Customer
2517,Attrited Customer
1491,Existing Customer
938,Existing Customer
1985,Existing Customer
0,Attrited Customer
0,Existing Customer
0,Existing Customer
0,Existing Customer
2025,Existing Customer
1334,Existing Customer
948,Existing Customer
1015,Existing Customer
0,Attrited Customer
0,Attrited Customer
1010,Existing Customer
1465,Existing Customer
390,Attrited Customer
2002,Existing Customer
1167,Existing Customer
1008,Existing Customer
1007,Existing Customer
1420,Existing Customer
1088,Attrited Customer
535,Existing Customer
0,Attrited Customer
0,Existing Customer
2517,Existing Customer
2517,Existing Customer
0,Existing Customer
2391,Attrited Customer
1838,Existing Customer
0,Existing Customer
1338,Existing Customer
0,Existing Customer
1153,Existing Customer
2100,Existing Customer
0,Existing Customer
1852,Existing Customer
0,Existing Customer
0,Attrited Customer
994,Existing Customer
0,Attrited Customer
1229,Attrited Customer
1468,Existing Customer
2202,Existing Customer
1086,Existing Customer
640,Existing Customer
1580,Existing Customer
2109,Existing Customer
989,Existing Customer
700,Existing Customer
0,Existing Customer
0,Existing Customer
0,Existing Customer
0,Existing Customer
1636,Attrited Customer
0,Existing Customer
1791,Existing Customer
1185,Existing Customer
1189,Existing Customer
1924,Existing Customer
1767,Attrited Customer
2517,Existing Customer
2386,Existing Customer
1429,Existing Customer
0,Existing Customer
1793,Existing Customer
2081,Existing Customer
888,Existing Customer
905,Existing Customer
765,Existing Customer
1227,Existing Customer
1138,Existing Customer
1829,Existing Customer
2055,Existing Customer
2517,Existing Customer
1544,Existing Customer
1251,Existing Customer
0,Existing Customer
0,Existing Customer
0,Attrited Customer
1170,Existing Customer
838,Existing Customer
0,Attrited Customer
1433,Existing Customer
1052,Existing Customer
0,Existing Customer
2296,Existing Customer
1266,Existing Customer
0,Existing Customer
1850,Existing Customer
738,Existing Customer
1002,Existing Customer
2323,Existing Customer
942,Existing Customer
1188,Existing Customer
765,Existing Customer
1306,Existing Customer
1428,Existing Customer
1291,Existing Customer
1776,Existing Customer
0,Existing Customer
512,Attrited Customer
1461,Existing Customer
1314,Existing Customer
1241,Existing Customer
1038,Existing Customer
0,Existing Customer
1348,Existing Customer
716,Existing Customer
1321,Existing Customer
0,Existing Customer
1724,Existing Customer
0,Existing Customer
1115,Existing Customer
1428,Existing Customer
1379,Existing Customer
0,Attrited Customer
0,Existing Customer
2271,Existing Customer
1192,Existing Customer
1652,Existing Customer
2181,Existing Customer
1775,Existing Customer
1419,Existing Customer
1377,Existing Customer
2446,Existing Customer
0,Attrited Customer
0,Attrited Customer
1784,Existing Customer
1031,Existing Customer
804,Existing Customer
0,Existing Customer
2513,Attrited Customer
0,Attrited Customer
2319,Attrited Customer
1674,Existing Customer
2517,Existing Customer
1068,Existing Customer
0,Existing Customer
1451,Existing Customer
868,Existing Customer
1291,Existing Customer
1483,Existing Customer
1330,Existing Customer
976,Existing Customer
552,Attrited Customer
2517,Existing Customer
1537,Existing Customer
611,Existing Customer
0,Existing Customer
0,Existing Customer
1640,Existing Customer
2332,Attrited Customer
850,Existing Customer
1561,Existing Customer
1888,Existing Customer
787,Existing Customer
1046,Existing Customer
1034,Existing Customer
1747,Existing Customer
1017,Existing Customer
0,Existing Customer
1942,Existing Customer
1931,Existing Customer
2035,Existing Customer
0,Existing Customer
1909,Existing Customer
1418,Existing Customer
1002,Existing Customer
1614,Existing Customer
0,Attrited Customer
0,Existing Customer
974,Existing Customer
1259,Existing Customer
1449,Existing Customer
1053,Existing Customer
569,Existing Customer
0,Existing Customer
1230,Existing Customer
996,Existing Customer
1044,Existing Customer
1989,Existing Customer
2517,Existing Customer
1339,Existing Customer
1664,Existing Customer
2264,Existing Customer
0,Existing Customer
576,Existing Customer
1238,Existing Customer
761,Existing Customer
0,Existing Customer
0,Existing Customer
1779,Existing Customer
1247,Existing Customer
1459,Existing Customer
774,Existing Customer
1966,Attrited Customer
0,Attrited Customer
1519,Existing Customer
1485,Existing Customer
0,Existing Customer
1671,Existing Customer
1083,Existing Customer
1655,Existing Customer
0,Existing Customer
1369,Attrited Customer
1566,Existing Customer
1358,Existing Customer
0,Attrited Customer
1582,Existing Customer
0,Existing Customer
2183,Existing Customer
2025,Existing Customer
2396,Existing Customer
0,Attrited Customer
1149,Existing Customer
628,Existing Customer
672,Existing Customer
0,Existing Customer
0,Attrited Customer
783,Existing Customer
2262,Existing Customer
585,Existing Customer
2090,Existing Customer
2245,Attrited Customer
1613,Existing Customer
1180,Existing Customer
1735,Existing Customer
943,Existing Customer
2517,Attrited Customer
0,Existing Customer
1977,Existing Customer
0,Existing Customer
1023,Existing Customer
755,Existing Customer
1519,Existing Customer
1758,Existing Customer
1830,Existing Customer
1017,Existing Customer
973,Existing Customer
880,Existing Customer
1565,Existing Customer
1568,Existing Customer
0,Existing Customer
1559,Existing Customer
1504,Existing Customer
1212,Existing Customer
1654,Existing Customer
1077,Existing Customer
1152,Existing Customer
1475,Existing Customer
0,Attrited Customer
2002,Existing Customer
1942,Existing Customer
1204,Existing Customer
2517,Existing Customer
0,Existing Customer
1508,Existing Customer
1375,Existing Customer
0,Existing Customer
2195,Existing Customer
0,Existing Customer
0,Existing Customer
0,Attrited Customer
925,Existing Customer
1660,Existing Customer
0,Existing Customer
1664,Existing Customer
0,Attrited Customer
990,Existing Customer
0,Existing Customer
193,Attrited Customer
0,Existing Customer
2276,Existing Customer
0,Attrited Customer
0,Existing Customer
0,Attrited Customer
1960,Existing Customer
0,Attrited Customer
1214,Existing Customer
1600,Existing Customer
1741,Existing Customer
0,Existing Customer
812,Attrited Customer
1344,Existing Customer
1189,Existing Customer
1290,Existing Customer
1885,Existing Customer
1662,Existing Customer
1358,Existing Customer
875,Existing Customer
1366,Existing Customer
639,Existing Customer
1416,Existing Customer
1921,Existing Customer
986,Existing Customer
1344,Existing Customer
0,Attrited Customer
1035,Existing Customer
0,Attrited Customer
1166,Existing Customer
0,Attrited Customer
1592,Existing Customer
1944,Existing Customer
1934,Existing Customer
1343,Existing Customer
2236,Existing Customer
1835,Existing Customer
871,Existing Customer
2216,Existing Customer
1603,Existing Customer
2053,Existing Customer
1271,Existing Customer
2224,Existing Customer
1604,Existing Customer
0,Attrited Customer
0,Existing Customer
0,Existing Customer
1560,Existing Customer
1782,Existing Customer
2444,Existing Customer
0,Existing Customer
0,Existing Customer
2496,Existing Customer
719,Existing Customer
2517,Existing Customer
918,Existing Customer
1639,Existing Customer
0,Existing Customer
1824,Existing Customer
1655,Existing Customer
1403,Existing Customer
