"Total_Ct_Chng_Q4_Q1","Attrition_Flag"
0.684,Existing Customer
0.35,Existing Customer
0.941,Existing Customer
0.545,Existing Customer
0.692,Existing Customer
0.478,Existing Customer
1.12,Existing Customer
0.885,Existing Customer
0.893,Existing Customer
0.423,Existing Customer
0.364,Attrited Customer
0.25,Existing Customer
0.92,Existing Customer
0.889,Existing Customer
0.659,Existing Customer
0.625,Existing Customer
0.69,Existing Customer
1.0,Existing Customer
1.05,Existing Customer
0.591,Existing Customer
0.688,Existing Customer
0.368,Attrited Customer
0.889,Existing Customer
0.265,Existing Customer
0.536,Existing Customer
0.471,Existing Customer
0.455,Existing Customer
1.292,Existing Customer
0.457,Existing Customer
1.167,Attrited Customer
0.75,Existing Customer
0.296,Existing Customer
1.0,Existing Customer
0.455,Existing Customer
0.5,Existing Customer
0.387,Existing Customer
0.382,Existing Customer
0.676,Existing Customer
0.52,Existing Customer
1.103,Existing Customer
1.0,Existing Customer
0.724,Existing Customer
0.522,Attrited Customer
0.8,Existing Customer
0.771,Existing Customer
0.5,Existing Customer
0.977,Existing Customer
0.656,Existing Customer
0.75,Existing Customer
0.808,Existing Customer
0.053,Attrited Customer
1.154,Existing Customer
0.5,Existing Customer
1.318,Existing Customer
0.565,Existing Customer
0.783,Existing Customer
0.739,Existing Customer
0.367,Existing Customer
0.809,Existing Customer
1.071,Existing Customer
0.467,Existing Customer
0.345,Existing Customer
0.625,Existing Customer
1.077,Existing Customer
1.0,Existing Customer
1.125,Existing Customer
0.581,Existing Customer
1.167,Existing Customer
1.7,Existing Customer
0.968,Existing Customer
1.042,Existing Customer
1.114,Existing Customer
0.667,Existing Customer
0.75,Existing Customer
1.0,Existing Customer
0.72,Existing Customer
0.8,Existing Customer
0.808,Existing Customer
0.579,Existing Customer
0.852,Existing Customer
0.7,Existing Customer
1.3,Existing Customer
0.316,Existing Customer
0.71,Existing Customer
0.15,Attrited Customer
1.0,Existing Customer
0.6,Existing Customer
0.316,Existing Customer
0.655,Existing Customer
0.536,Existing Customer
0.435,Existing Customer
0.571,Existing Customer
0.8,Existing Customer
0.652,Existing Customer
0.756,Existing Customer
0.879,Existing Customer
0.409,Existing Customer
0.833,Existing Customer
0.543,Existing Customer
0.762,Existing Customer
0.485,Existing Customer
0.781,Existing Customer
0.5,Existing Customer
0.735,Existing Customer
0.275,Existing Customer
0.19,Attrited Customer
0.727,Existing Customer
0.784,Existing Customer
0.686,Existing Customer
0.238,Attrited Customer
0.789,Existing Customer
0.286,Attrited Customer
0.609,Existing Customer
0.364,Existing Customer
0.583,Existing Customer
0.647,Existing Customer
0.636,Existing Customer
0.774,Attrited Customer
0.667,Existing Customer
0.618,Existing Customer
1.083,Existing Customer
1.067,Existing Customer
0.773,Existing Customer
1.0,Existing Customer
0.778,Existing Customer
0.689,Existing Customer
1.3,Existing Customer
0.6,Existing Customer
0.44,Existing Customer
0.561,Existing Customer
0.706,Existing Customer
0.689,Existing Customer
1.125,Existing Customer
0.5,Existing Customer
0.583,Attrited Customer
1.231,Existing Customer
0.846,Existing Customer
0.621,Existing Customer
0.4,Attrited Customer
0.391,Existing Customer
0.545,Existing Customer
0.25,Attrited Customer
0.556,Existing Customer
1.0,Existing Customer
0.448,Existing Customer
0.174,Existing Customer
1.053,Existing Customer
0.217,Existing Customer
0.375,Existing Customer
0.387,Existing Customer
0.35,Attrited Customer
1.174,Existing Customer
0.478,Attrited Customer
0.857,Existing Customer
0.731,Existing Customer
0.947,Existing Customer
0.766,Existing Customer
0.31,Existing Customer
0.6,Existing Customer
0.829,Existing Customer
0.571,Existing Customer
0.5,Existing Customer
0.889,Existing Customer
0.6,Existing Customer
0.364,Existing Customer
0.75,Existing Customer
0.683,Existing Customer
0.649,Existing Customer
0.75,Existing Customer
0.75,Existing Customer
0.683,Existing Customer
0.0,Attrited Customer
1.0,Existing Customer
0.536,Existing Customer
0.368,Existing Customer
0.929,Existing Customer
0.579,Existing Customer
0.476,Existing Customer
0.5,Existing Customer
0.703,Existing Customer
0.35,Existing Customer
0.281,Existing Customer
0.182,Attrited Customer
0.28,Existing Customer
0.682,Existing Customer
0.464,Existing Customer
1.071,Existing Customer
0.788,Existing Customer
0.488,Existing Customer
0.476,Existing Customer
1.188,Existing Customer
0.364,Existing Customer
0.607,Existing Customer
0.833,Existing Customer
0.436,Existing Customer
1.136,Existing Customer
0.865,Existing Customer
0.881,Existing Customer
0.75,Existing Customer
0.794,Existing Customer
0.5,Existing Customer
1.0,Existing Customer
0.263,Existing Customer
0.778,Existing Customer
1.25,Existing Customer
0.6,Existing Customer
0.676,Existing Customer
0.703,Existing Customer
0.712,Existing Customer
0.824,Existing Customer
0.625,Attrited Customer
0.862,Existing Customer
0.647,Existing Customer
0.625,Existing Customer
0.542,Existing Customer
0.842,Existing Customer
0.344,Existing Customer
0.786,Existing Customer
0.676,Existing Customer
0.552,Attrited Customer
0.6,Existing Customer
0.667,Existing Customer
0.891,Existing Customer
0.727,Existing Customer
0.545,Existing Customer
0.41,Existing Customer
0.969,Existing Customer
0.64,Existing Customer
0.848,Existing Customer
0.269,Existing Customer
0.69,Existing Customer
0.667,Existing Customer
0.69,Existing Customer
0.591,Existing Customer
0.763,Existing Customer
0.522,Existing Customer
0.828,Existing Customer
1.042,Existing Customer
0.833,Existing Customer
1.0,Existing Customer
0.545,Existing Customer
0.714,Existing Customer
0.911,Existing Customer
0.238,Attrited Customer
0.536,Existing Customer
0.946,Existing Customer
0.957,Existing Customer
0.25,Attrited Customer
0.545,Existing Customer
0.37,Existing Customer
0.75,Existing Customer
0.714,Existing Customer
0.714,Existing Customer
0.724,Existing Customer
0.758,Existing Customer
0.667,Existing Customer
0.727,Existing Customer
1.312,Existing Customer
0.367,Existing Customer
0.2,Attrited Customer
1.0,Existing Customer
0.8,Existing Customer
0.538,Existing Customer
0.632,Existing Customer
0.5,Existing Customer
0.774,Existing Customer
0.909,Existing Customer
0.96,Existing Customer
0.679,Existing Customer
0.286,Attrited Customer
0.72,Existing Customer
0.657,Existing Customer
0.625,Existing Customer
0.465,Existing Customer
0.8,Existing Customer
0.423,Existing Customer
0.591,Existing Customer
1.042,Existing Customer
0.385,Attrited Customer
0.4,Existing Customer
0.875,Existing Customer
0.4,Existing Customer
0.406,Existing Customer
0.464,Existing Customer
0.629,Existing Customer
0.609,Existing Customer
0.478,Existing Customer
0.958,Existing Customer
0.696,Existing Customer
0.75,Existing Customer
0.533,Existing Customer
0.591,Existing Customer
0.391,Existing Customer
0.739,Existing Customer
0.706,Existing Customer
0.5,Existing Customer
0.909,Existing Customer
0.542,Existing Customer
0.568,Existing Customer
0.611,Existing Customer
0.733,Existing Customer
0.6,Existing Customer
0.541,Existing Customer
1.062,Existing Customer
1.417,Existing Customer
0.778,Attrited Customer
0.25,Existing Customer
0.652,Existing Customer
0.86,Existing Customer
0.727,Existing Customer
0.3,Existing Customer
0.923,Existing Customer
0.783,Existing Customer
0.633,Existing Customer
0.794,Existing Customer
0.564,Existing Customer
0.75,Existing Customer
0.628,Existing Customer
0.571,Existing Customer
0.062,Existing Customer
0.833,Existing Customer
0.714,Existing Customer
0.375,Attrited Customer
0.892,Existing Customer
1.357,Existing Customer
0.565,Existing Customer
0.578,Existing Customer
0.692,Existing Customer
0.704,Existing Customer
1.0,Existing Customer
0.529,Existing Customer
0.476,Attrited Customer
0.647,Existing Customer
0.732,Existing Customer
0.667,Existing Customer
0.794,Existing Customer
0.483,Existing Customer
0.806,Existing Customer
0.625,Existing Customer
0.667,Existing Customer
0.368,Existing Customer
0.69,Existing Customer
0.622,Existing Customer
0.957,Existing Customer
0.923,Existing Customer
0.512,Existing Customer
0.25,Attrited Customer
0.511,Existing Customer
0.778,Existing Customer
0.5,Existing Customer
0.333,Existing Customer
0.548,Existing Customer
0.659,Existing Customer
0.217,Existing Customer
0.45,Existing Customer
0.425,Existing Customer
0.645,Existing Customer
0.543,Existing Customer
0.576,Existing Customer
0.571,Existing Customer
0.318,Existing Customer
1.0,Existing Customer
1.0,Existing Customer
0.571,Existing Customer
0.391,Existing Customer
0.737,Existing Customer
0.545,Existing Customer
0.865,Existing Customer
0.706,Existing Customer
0.762,Existing Customer
0.929,Existing Customer
0.614,Existing Customer
0.714,Existing Customer
0.8,Existing Customer
0.611,Attrited Customer
0.385,Existing Customer
0.7,Existing Customer
0.639,Existing Customer
0.737,Existing Customer
0.956,Existing Customer
0.706,Existing Customer
0.9,Existing Customer
0.185,Existing Customer
0.133,Attrited Customer
1.333,Existing Customer
0.848,Existing Customer
0.542,Existing Customer
0.656,Existing Customer
0.341,Existing Customer
0.58,Existing Customer
0.378,Existing Customer
0.4,Attrited Customer
0.429,Attrited Customer
0.441,Existing Customer
0.545,Existing Customer
0.871,Existing Customer
0.952,Existing Customer
0.455,Existing Customer
0.756,Existing Customer
0.682,Existing Customer
0.667,Existing Customer
0.44,Existing Customer
0.556,Existing Customer
0.655,Existing Customer
0.511,Existing Customer
0.643,Existing Customer
0.9,Existing Customer
0.441,Existing Customer
1.036,Existing Customer
0.909,Existing Customer
0.625,Existing Customer
0.697,Existing Customer
0.35,Existing Customer
0.766,Existing Customer
0.64,Existing Customer
0.69,Existing Customer
0.357,Existing Customer
0.562,Attrited Customer
0.633,Existing Customer
0.571,Attrited Customer
0.96,Existing Customer
0.667,Existing Customer
0.48,Existing Customer
0.549,Existing Customer
0.421,Attrited Customer
0.774,Existing Customer
0.531,Existing Customer
0.714,Existing Customer
0.759,Existing Customer
0.789,Existing Customer
0.273,Existing Customer
0.491,Existing Customer
0.571,Existing Customer
0.702,Existing Customer
1.0,Existing Customer
1.0,Existing Customer
0.48,Existing Customer
0.941,Existing Customer
0.87,Existing Customer
0.829,Existing Customer
0.455,Existing Customer
0.638,Existing Customer
0.55,Existing Customer
0.344,Existing Customer
0.364,Existing Customer
0.59,Existing Customer
1.077,Existing Customer
0.839,Existing Customer
0.675,Existing Customer
0.464,Existing Customer
0.32,Existing Customer
0.176,Attrited Customer
0.774,Existing Customer
0.9,Existing Customer
0.912,Existing Customer
0.533,Attrited Customer
0.889,Existing Customer
0.867,Existing Customer
0.653,Existing Customer
0.633,Existing Customer
0.938,Existing Customer
0.604,Existing Customer
0.591,Existing Customer
0.579,Existing Customer
0.419,Existing Customer
0.7,Existing Customer
0.676,Existing Customer
0.769,Existing Customer
0.727,Existing Customer
0.714,Existing Customer
0.429,Attrited Customer
0.65,Existing Customer
0.5,Existing Customer
0.478,Attrited Customer
0.667,Existing Customer
0.474,Existing Customer
0.5,Existing Customer
0.59,Existing Customer
0.611,Existing Customer
0.609,Existing Customer
0.778,Existing Customer
0.73,Existing Customer
0.591,Existing Customer
0.429,Existing Customer
0.66,Existing Customer
0.778,Existing Customer
0.636,Existing Customer
0.458,Existing Customer
0.514,Existing Customer
0.778,Existing Customer
1.0,Existing Customer
0.857,Existing Customer
0.941,Existing Customer
0.917,Existing Customer
1.308,Existing Customer
0.636,Existing Customer
0.292,Existing Customer
0.357,Existing Customer
0.775,Existing Customer
0.769,Attrited Customer
0.727,Existing Customer
0.971,Existing Customer
0.622,Existing Customer
0.509,Existing Customer
0.8,Existing Customer
0.941,Existing Customer
0.727,Existing Customer
0.625,Existing Customer
0.651,Existing Customer
0.714,Existing Customer
0.424,Existing Customer
0.7,Existing Customer
0.412,Existing Customer
0.423,Existing Customer
0.348,Existing Customer
1.077,Existing Customer
0.775,Existing Customer
0.562,Existing Customer
0.448,Existing Customer
0.481,Existing Customer
0.952,Existing Customer
0.75,Existing Customer
0.558,Existing Customer
0.463,Existing Customer
0.574,Existing Customer
0.634,Existing Customer
0.472,Existing Customer
0.541,Existing Customer
0.718,Existing Customer
0.694,Existing Customer
1.148,Existing Customer
0.757,Existing Customer
1.35,Existing Customer
0.655,Existing Customer
0.905,Existing Customer
0.733,Existing Customer
1.0,Existing Customer
0.462,Existing Customer
0.684,Existing Customer
0.667,Existing Customer
0.618,Existing Customer
0.704,Existing Customer
0.65,Existing Customer
0.545,Existing Customer
0.421,Existing Customer
0.674,Existing Customer
0.8,Attrited Customer
0.636,Existing Customer
0.722,Existing Customer
1.08,Existing Customer
0.464,Existing Customer
0.889,Existing Customer
0.6,Attrited Customer
0.362,Existing Customer
0.2,Attrited Customer
0.467,Existing Customer
0.6,Attrited Customer
0.824,Existing Customer
0.972,Existing Customer
0.833,Existing Customer
0.5,Existing Customer
0.895,Existing Customer
0.822,Existing Customer
0.755,Existing Customer
0.958,Existing Customer
0.8,Existing Customer
0.64,Existing Customer
0.579,Existing Customer
1.0,Existing Customer
0.294,Attrited Customer
0.848,Existing Customer
0.2,Existing Customer
0.812,Existing Customer
0.537,Existing Customer
0.395,Existing Customer
0.577,Existing Customer
0.371,Existing Customer
0.75,Existing Customer
0.367,Existing Customer
0.861,Existing Customer
0.667,Existing Customer
0.541,Existing Customer
0.738,Existing Customer
1.133,Existing Customer
0.871,Existing Customer
0.485,Existing Customer
0.872,Existing Customer
0.853,Existing Customer
0.8,Existing Customer
0.886,Existing Customer
0.571,Existing Customer
0.909,Existing Customer
0.605,Existing Customer
1.062,Existing Customer
1.35,Existing Customer
0.429,Existing Customer
0.774,Existing Customer
0.697,Existing Customer
0.636,Existing Customer
0.632,Existing Customer
0.732,Existing Customer
1.5,Existing Customer
0.65,Existing Customer
0.643,Existing Customer
0.4,Existing Customer
0.532,Existing Customer
0.789,Existing Customer
0.429,Existing Customer
1.03,Existing Customer
0.605,Existing Customer
0.85,Existing Customer
0.453,Existing Customer
0.605,Existing Customer
0.393,Existing Customer
0.364,Existing Customer
0.585,Existing Customer
0.548,Existing Customer
0.477,Existing Customer
0.821,Existing Customer
0.368,Existing Customer
0.857,Existing Customer
0.81,Existing Customer
1.182,Existing Customer
0.635,Existing Customer
1.0,Existing Customer
0.674,Existing Customer
1.136,Existing Customer
0.767,Existing Customer
0.381,Existing Customer
0.581,Existing Customer
1.0,Existing Customer
0.659,Existing Customer
0.421,Existing Customer
0.429,Existing Customer
2.5,Attrited Customer
0.917,Existing Customer
1.25,Existing Customer
0.575,Existing Customer
1.0,Existing Customer
0.538,Existing Customer
1.0,Existing Customer
0.909,Existing Customer
0.444,Existing Customer
0.595,Existing Customer
0.652,Existing Customer
0.903,Existing Customer
1.31,Existing Customer
0.706,Existing Customer
1.087,Existing Customer
0.688,Existing Customer
0.711,Existing Customer
0.333,Existing Customer
0.457,Existing Customer
0.409,Existing Customer
0.66,Existing Customer
0.696,Existing Customer
0.727,Existing Customer
0.523,Existing Customer
0.591,Attrited Customer
0.523,Existing Customer
1.0,Existing Customer
0.806,Existing Customer
0.651,Existing Customer
0.711,Existing Customer
0.588,Existing Customer
1.071,Existing Customer
1.0,Existing Customer
0.744,Existing Customer
0.722,Existing Customer
0.317,Existing Customer
0.394,Existing Customer
1.647,Existing Customer
0.604,Existing Customer
0.93,Existing Customer
0.643,Existing Customer
0.583,Existing Customer
0.562,Existing Customer
0.462,Existing Customer
1.071,Existing Customer
1.3,Existing Customer
0.485,Existing Customer
0.24,Existing Customer
0.622,Existing Customer
0.684,Existing Customer
0.5,Existing Customer
1.0,Existing Customer
0.6,Existing Customer
0.871,Existing Customer
0.739,Existing Customer
0.875,Existing Customer
0.794,Existing Customer
0.812,Existing Customer
0.789,Existing Customer
0.75,Existing Customer
0.784,Existing Customer
0.804,Existing Customer
0.862,Existing Customer
0.485,Existing Customer
0.595,Existing Customer
0.676,Existing Customer
0.682,Existing Customer
0.571,Existing Customer
1.111,Existing Customer
0.54,Existing Customer
0.857,Existing Customer
0.55,Existing Customer
0.562,Existing Customer
0.607,Existing Customer
0.714,Existing Customer
0.545,Existing Customer
0.37,Existing Customer
0.5,Existing Customer
0.649,Existing Customer
0.444,Attrited Customer
1.043,Existing Customer
0.609,Existing Customer
0.88,Existing Customer
0.938,Existing Customer
0.771,Existing Customer
0.778,Existing Customer
0.4,Existing Customer
1.111,Existing Customer
0.59,Existing Customer
0.5,Existing Customer
0.622,Existing Customer
0.75,Existing Customer
0.355,Existing Customer
0.647,Existing Customer
0.435,Existing Customer
0.591,Existing Customer
0.514,Existing Customer
0.553,Existing Customer
0.426,Existing Customer
0.621,Existing Customer
0.848,Existing Customer
0.486,Existing Customer
0.773,Existing Customer
1.036,Existing Customer
1.0,Existing Customer
1.174,Existing Customer
0.583,Existing Customer
0.524,Existing Customer
0.786,Existing Customer
0.529,Existing Customer
0.824,Existing Customer
0.75,Existing Customer
0.6,Existing Customer
0.815,Existing Customer
0.59,Existing Customer
0.674,Existing Customer
0.571,Existing Customer
0.833,Existing Customer
0.345,Attrited Customer
0.816,Existing Customer
0.737,Existing Customer
0.579,Existing Customer
0.867,Existing Customer
0.788,Existing Customer
0.7,Existing Customer
0.7,Existing Customer
1.75,Existing Customer
0.698,Existing Customer
1.042,Existing Customer
0.227,Existing Customer
0.525,Existing Customer
0.789,Existing Customer
0.71,Existing Customer
0.605,Existing Customer
0.896,Existing Customer
0.65,Existing Customer
1.059,Existing Customer
0.882,Existing Customer
1.923,Existing Customer
0.625,Existing Customer
1.0,Existing Customer
0.593,Existing Customer
0.636,Existing Customer
0.5,Existing Customer
0.786,Existing Customer
0.48,Existing Customer
0.653,Existing Customer
0.714,Existing Customer
0.273,Existing Customer
0.761,Existing Customer
0.703,Existing Customer
0.514,Existing Customer
0.395,Existing Customer
0.452,Existing Customer
0.657,Existing Customer
0.792,Existing Customer
0.542,Existing Customer
0.382,Existing Customer
0.625,Existing Customer
0.634,Existing Customer
0.706,Existing Customer
0.73,Existing Customer
1.051,Existing Customer
0.476,Existing Customer
0.966,Existing Customer
0.917,Existing Customer
0.778,Existing Customer
0.61,Existing Customer
0.634,Existing Customer
0.755,Existing Customer
0.623,Existing Customer
0.763,Existing Customer
0.884,Existing Customer
0.273,Attrited Customer
0.675,Existing Customer
0.5,Existing Customer
0.806,Existing Customer
0.667,Existing Customer
0.704,Existing Customer
0.522,Existing Customer
0.632,Existing Customer
0.778,Existing Customer
0.9,Existing Customer
0.429,Existing Customer
0.625,Existing Customer
0.519,Existing Customer
0.689,Existing Customer
1.167,Existing Customer
0.579,Existing Customer
0.816,Existing Customer
0.391,Existing Customer
0.667,Existing Customer
0.875,Existing Customer
0.531,Existing Customer
0.312,Existing Customer
1.0,Existing Customer
0.619,Existing Customer
0.617,Existing Customer
0.771,Existing Customer
0.7,Existing Customer
0.659,Existing Customer
0.653,Existing Customer
0.378,Existing Customer
0.423,Existing Customer
0.542,Existing Customer
0.714,Existing Customer
0.935,Existing Customer
0.635,Existing Customer
0.875,Existing Customer
0.586,Attrited Customer
0.692,Existing Customer
0.523,Existing Customer
0.741,Existing Customer
0.75,Existing Customer
0.694,Existing Customer
0.621,Attrited Customer
0.629,Existing Customer
0.659,Existing Customer
1.13,Existing Customer
0.545,Existing Customer
0.7,Existing Customer
0.682,Existing Customer
0.703,Existing Customer
0.795,Existing Customer
0.688,Existing Customer
0.5,Existing Customer
0.586,Existing Customer
0.696,Existing Customer
0.63,Existing Customer
0.633,Existing Customer
1.0,Existing Customer
0.76,Existing Customer
0.29,Existing Customer
0.76,Existing Customer
0.935,Existing Customer
0.604,Existing Customer
0.895,Existing Customer
0.902,Existing Customer
0.653,Existing Customer
0.795,Existing Customer
0.308,Attrited Customer
0.933,Existing Customer
0.683,Existing Customer
0.702,Existing Customer
0.9,Existing Customer
0.622,Existing Customer
0.692,Existing Customer
0.78,Existing Customer
0.463,Existing Customer
0.737,Existing Customer
0.609,Existing Customer
0.841,Existing Customer
0.25,Existing Customer
0.879,Existing Customer
0.882,Existing Customer
0.538,Attrited Customer
0.6,Existing Customer
0.721,Existing Customer
0.816,Existing Customer
0.6,Attrited Customer
0.86,Existing Customer
0.556,Existing Customer
0.892,Existing Customer
0.737,Existing Customer
0.649,Existing Customer
0.32,Existing Customer
0.975,Existing Customer
0.592,Existing Customer
0.771,Existing Customer
0.781,Existing Customer
0.429,Attrited Customer
0.659,Existing Customer
0.654,Existing Customer
0.591,Existing Customer
0.735,Existing Customer
0.833,Existing Customer
0.529,Existing Customer
0.857,Existing Customer
0.65,Existing Customer
1.182,Existing Customer
0.707,Existing Customer
0.618,Existing Customer
0.524,Existing Customer
0.809,Existing Customer
0.511,Existing Customer
0.628,Existing Customer
0.964,Existing Customer
0.628,Existing Customer
0.75,Existing Customer
0.634,Existing Customer
0.739,Existing Customer
0.641,Existing Customer
0.882,Existing Customer
0.871,Existing Customer
0.489,Existing Customer
0.737,Existing Customer
0.537,Existing Customer
0.763,Existing Customer
0.69,Existing Customer
0.738,Existing Customer
0.805,Existing Customer
0.9,Existing Customer
0.591,Existing Customer
0.561,Existing Customer
0.735,Existing Customer
0.717,Existing Customer
0.659,Existing Customer
0.568,Existing Customer
0.347,Existing Customer
0.5,Existing Customer
0.891,Existing Customer
0.844,Existing Customer
0.721,Existing Customer
0.613,Existing Customer
0.659,Existing Customer
0.857,Existing Customer
1.25,Existing Customer
0.659,Existing Customer
0.806,Existing Customer
0.731,Existing Customer
1.071,Existing Customer
0.59,Existing Customer
0.857,Existing Customer
0.571,Existing Customer
0.5,Attrited Customer
0.676,Existing Customer
0.638,Existing Customer
0.727,Existing Customer
0.791,Existing Customer
0.619,Existing Customer
0.553,Existing Customer
0.574,Existing Customer
0.681,Existing Customer
0.256,Existing Customer
0.578,Existing Customer
0.619,Existing Customer
0.667,Existing Customer
0.548,Existing Customer
0.6,Existing Customer
0.76,Existing Customer
0.824,Existing Customer
0.73,Existing Customer
0.821,Existing Customer
0.647,Existing Customer
0.697,Existing Customer
0.667,Existing Customer
0.868,Existing Customer
0.846,Attrited Customer
0.967,Existing Customer
0.711,Existing Customer
0.946,Existing Customer
0.903,Existing Customer
0.763,Existing Customer
0.481,Attrited Customer
0.586,Existing Customer
0.528,Existing Customer
1.0,Existing Customer
0.733,Existing Customer
0.514,Existing Customer
0.684,Existing Customer
0.783,Existing Customer
0.879,Existing Customer
0.75,Existing Customer
0.78,Existing Customer
0.778,Existing Customer
0.296,Existing Customer
0.533,Existing Customer
0.5,Existing Customer
0.912,Existing Customer
0.65,Attrited Customer
0.432,Existing Customer
0.66,Existing Customer
0.633,Existing Customer
0.796,Existing Customer
0.714,Existing Customer
0.472,Existing Customer
0.333,Attrited Customer
0.654,Attrited Customer
0.588,Existing Customer
0.842,Existing Customer
0.778,Existing Customer
0.735,Existing Customer
0.286,Existing Customer
0.5,Existing Customer
1.121,Existing Customer
0.897,Existing Customer
0.692,Existing Customer
0.787,Existing Customer
0.561,Existing Customer
0.8,Existing Customer
0.457,Existing Customer
0.867,Existing Customer
1.0,Existing Customer
1.032,Existing Customer
0.714,Existing Customer
0.833,Existing Customer
1.0,Existing Customer
0.806,Existing Customer
0.581,Existing Customer
0.659,Existing Customer
0.565,Existing Customer
0.976,Existing Customer
1.158,Existing Customer
0.692,Existing Customer
0.919,Existing Customer
0.788,Existing Customer
0.619,Existing Customer
0.806,Existing Customer
0.696,Attrited Customer
0.73,Existing Customer
0.609,Existing Customer
0.683,Existing Customer
1.028,Existing Customer
0.576,Existing Customer
1.069,Existing Customer
0.532,Existing Customer
0.842,Existing Customer
0.448,Attrited Customer
0.893,Existing Customer
0.722,Existing Customer
0.68,Existing Customer
1.0,Existing Customer
0.743,Existing Customer
0.806,Existing Customer
0.763,Existing Customer
0.72,Existing Customer
0.68,Existing Customer
0.25,Attrited Customer
0.654,Existing Customer
0.512,Existing Customer
0.456,Existing Customer
1.091,Existing Customer
0.468,Existing Customer
0.595,Existing Customer
0.829,Existing Customer
0.651,Existing Customer
0.457,Existing Customer
0.783,Existing Customer
0.6,Existing Customer
0.6,Existing Customer
0.659,Existing Customer
0.75,Existing Customer
0.659,Existing Customer
0.694,Existing Customer
0.763,Existing Customer
0.73,Existing Customer
0.636,Existing Customer
0.611,Existing Customer
0.707,Existing Customer
0.811,Existing Customer
0.73,Existing Customer
0.853,Existing Customer
0.929,Attrited Customer
0.585,Existing Customer
0.447,Existing Customer
0.409,Attrited Customer
0.633,Existing Customer
1.212,Existing Customer
0.763,Existing Customer
0.917,Existing Customer
0.75,Existing Customer
0.769,Attrited Customer
0.838,Existing Customer
0.585,Existing Customer
0.545,Existing Customer
0.966,Existing Customer
0.553,Existing Customer
0.6,Existing Customer
0.75,Existing Customer
0.483,Attrited Customer
0.605,Existing Customer
0.278,Existing Customer
0.591,Attrited Customer
0.417,Existing Customer
0.568,Existing Customer
0.615,Existing Customer
0.628,Existing Customer
0.622,Existing Customer
0.944,Existing Customer
0.533,Existing Customer
0.787,Existing Customer
0.448,Attrited Customer
0.474,Existing Customer
0.6,Existing Customer
0.727,Existing Customer
0.711,Existing Customer
0.941,Existing Customer
0.784,Existing Customer
0.673,Existing Customer
0.629,Existing Customer
0.867,Existing Customer
0.481,Existing Customer
0.875,Existing Customer
0.222,Attrited Customer
0.769,Existing Customer
0.467,Attrited Customer
0.458,Existing Customer
0.614,Existing Customer
1.071,Existing Customer
0.667,Existing Customer
1.133,Existing Customer
0.676,Existing Customer
0.933,Existing Customer
0.596,Existing Customer
0.6,Existing Customer
0.842,Existing Customer
0.583,Existing Customer
0.824,Existing Customer
0.241,Attrited Customer
0.51,Existing Customer
0.667,Existing Customer
0.919,Existing Customer
0.574,Existing Customer
0.879,Existing Customer
0.947,Attrited Customer
0.744,Existing Customer
0.812,Existing Customer
0.733,Existing Customer
0.641,Existing Customer
1.0,Existing Customer
0.29,Attrited Customer
0.531,Existing Customer
0.86,Existing Customer
0.711,Existing Customer
0.727,Existing Customer
0.587,Existing Customer
0.396,Existing Customer
0.75,Existing Customer
0.674,Existing Customer
0.675,Existing Customer
0.644,Existing Customer
0.919,Existing Customer
0.568,Existing Customer
0.514,Existing Customer
0.37,Existing Customer
0.757,Existing Customer
0.453,Existing Customer
0.9,Existing Customer
0.622,Existing Customer
0.828,Existing Customer
0.51,Existing Customer
0.635,Existing Customer
0.667,Attrited Customer
0.643,Existing Customer
0.633,Existing Customer
0.538,Existing Customer
0.781,Existing Customer
0.667,Existing Customer
0.564,Existing Customer
1.0,Attrited Customer
0.355,Attrited Customer
0.818,Existing Customer
0.731,Attrited Customer
0.684,Existing Customer
0.842,Existing Customer
0.55,Existing Customer
0.775,Existing Customer
0.718,Existing Customer
0.629,Existing Customer
0.6,Existing Customer
0.657,Existing Customer
0.692,Existing Customer
0.46,Existing Customer
0.595,Existing Customer
0.85,Existing Customer
0.091,Attrited Customer
0.775,Existing Customer
0.489,Existing Customer
0.276,Attrited Customer
0.61,Existing Customer
1.0,Existing Customer
0.75,Existing Customer
0.706,Existing Customer
0.25,Attrited Customer
0.547,Existing Customer
0.595,Existing Customer
0.614,Existing Customer
0.929,Existing Customer
0.444,Existing Customer
0.455,Attrited Customer
1.421,Existing Customer
0.714,Attrited Customer
0.682,Existing Customer
0.75,Existing Customer
0.489,Existing Customer
0.65,Existing Customer
0.806,Existing Customer
0.683,Existing Customer
0.884,Existing Customer
0.833,Existing Customer
0.628,Existing Customer
0.721,Existing Customer
0.806,Existing Customer
0.714,Existing Customer
0.812,Existing Customer
0.568,Existing Customer
0.5,Existing Customer
0.519,Attrited Customer
0.644,Existing Customer
0.727,Existing Customer
0.903,Existing Customer
0.833,Existing Customer
0.659,Existing Customer
0.394,Attrited Customer
0.87,Existing Customer
0.676,Attrited Customer
0.526,Attrited Customer
0.804,Existing Customer
0.825,Existing Customer
0.448,Attrited Customer
0.722,Existing Customer
0.729,Existing Customer
0.543,Existing Customer
0.448,Attrited Customer
0.833,Existing Customer
0.58,Existing Customer
0.619,Existing Customer
0.719,Existing Customer
0.5,Attrited Customer
0.636,Existing Customer
0.667,Existing Customer
0.804,Existing Customer
0.689,Existing Customer
0.929,Existing Customer
0.763,Existing Customer
0.355,Attrited Customer
0.652,Existing Customer
